date,open,high,low,close,earn_rate,,,,,
 2018/12/04,703.18,711.27,693.93,704.19,0.0014,,,,,
 2018/12/05,691.41,706.37,685.48,697.07,0.0082,,,,,
 2018/12/06,693.55,698.8,677.76,683.54,-0.0144,,,,,
 2018/12/07,685.48,694.88,679.17,685.32,-0.0002,,,,,
 2018/12/10,680.3,694.43,664.83,676.64,-0.0054,,,,,
 2018/12/11,679.95,690.48,670.3,684.5,0.0067,,,,,
 2018/12/12,685.23,691.35,674.83,679.23,-0.0088,,,,,
 2018/12/13,681.54,691.26,674.35,684.67,0.0046,,,,,
 2018/12/14,683.08,686.27,665.03,666.98,-0.0236,,,,,
 2018/12/17,663.75,672.53,652.12,664.06,0.0005,,,,,
 2018/12/18,659.57,670.03,649.96,659.94,0.0006,,,,,
 2018/12/19,660.9,663.42,647.22,651.15,-0.0148,,,,,
 2018/12/20,648.96,660.47,644.23,655.32,0.0098,,,,,
 2018/12/21,652.36,670.26,647.34,659.92,0.0116,,,,,
 2018/12/24,657.8,666.64,648.88,659.81,0.0031,,,,,
 2018/12/25,653.16,659.64,632.27,651.47,-0.0026,,,,,
 2018/12/26,650.67,662.55,644.6,651.72,0.0016,,,,,
 2018/12/27,661.58,668.32,641.8,645.83,-0.0238,,,,,
 2018/12/28,647.39,656.97,638,647.64,0.0004,,,,,
 2019/01/02,649.27,656.78,628.95,639.17,-0.0156,,,,,
 2019/01/03,637.1,645.79,625.03,630.95,-0.0097,,,,,
 2019/01/04,625.6,649.15,620.12,643.99,0.0294,,,,,
 2019/01/07,645.12,655.9,639.75,650.95,0.009,,,,,
 2019/01/08,647.91,654.96,639.87,647.45,-0.0007,,,,,
 2019/01/09,647.67,663.76,643.3,649.85,0.0034,,,,,
 2019/01/10,651.09,661.26,644.83,650.56,-0.0008,,,,,
 2019/01/11,650.98,661.08,644.27,654.39,0.0052,,,,,
 2019/01/14,653.9,660.83,640.34,646.41,-0.0115,,,,,
 2019/01/15,645.68,660.24,640.87,657.18,0.0178,,,,,
 2019/01/16,658.7,669.19,651.53,657.27,-0.0022,,,,,
 2019/01/17,659.13,665.8,648.04,653.41,-0.0087,,,,,
 2019/01/18,652.96,660.82,645.73,655.34,0.0036,,,,,
 2019/01/21,655.69,668.77,651.13,659.31,0.0055,,,,,
 2019/01/22,658.9,662.87,645.24,650.36,-0.013,,,,,
 2019/01/23,649.13,656.39,640.18,648.9,-0.0004,,,,,
 2019/01/24,649.81,663.75,643.17,655.95,0.0094,,,,,
 2019/01/25,655.93,665.22,647.19,653.3,-0.004,,,,,
 2019/01/28,657.05,664.22,644.34,648.35,-0.0132,,,,,
 2019/01/29,644.87,652.64,621.46,636.41,-0.0131,,,,,
 2019/01/30,633.17,642.5,622.16,628.14,-0.0079,,,,,
 2019/01/31,626.55,639.47,608.23,619.82,-0.0107,,,,,
 2019/02/01,622.49,640.48,616.98,637.87,0.0247,,,,,
 2019/02/11,640.23,655.49,635.59,652.86,0.0197,,,,,
 2019/02/12,651.85,670.06,648.44,662.78,0.0168,,,,,
 2019/02/13,662.91,684.53,659.45,676.37,0.0203,,,,,
 2019/02/14,674.7,685.32,667.64,678.88,0.0062,,,,,
 2019/02/15,680.22,690.74,672.17,676.45,-0.0055,,,,,
 2019/02/18,679.84,700.05,676.43,697.33,0.0257,,,,,
 2019/02/19,698.36,711.7,683.61,695.83,-0.0036,,,,,
 2019/02/20,695.73,703.73,681,694.37,-0.002,,,,,
 2019/02/21,693.67,717.27,685.47,696.97,0.0048,,,,,
 2019/02/22,698.7,730.55,694.17,726.07,0.0392,,,,,
 2019/02/25,743.38,784.05,732.15,779.64,0.0488,,,,,
 2019/02/26,785.96,815.03,765.69,780.72,-0.0067,,,,,
 2019/02/27,779.45,807.7,764.47,784.32,0.0062,,,,,
 2019/02/28,787.38,806.03,770.07,785.76,-0.0021,,,,,
 2019/03/01,794.51,810.8,771.48,795.29,0.001,,,,,
 2019/03/04,810.72,836.24,795.2,812.89,0.0027,,,,,
 2019/03/05,814.84,846.23,805.71,840.97,0.0321,,,,,
 2019/03/06,856.4,876.49,838.09,865.83,0.011,,,,,
 2019/03/07,876.98,915.31,866.28,900.79,0.0271,,,,,
 2019/03/08,886.3,933.2,857.88,882.19,-0.0046,,,,,
 2019/03/11,895.8,928.23,862.95,905.33,0.0106,,,,,
 2019/03/12,907.21,953.8,894.65,932.04,0.0274,,,,,
 2019/03/13,936.58,961.35,880.96,897.54,-0.0417,,,,,
 2019/03/14,882.51,902.15,837.34,859.33,-0.0263,,,,,
 2019/03/15,864.02,881.26,836.88,849.06,-0.0173,,,,,
 2019/03/18,851.92,875.03,833.64,868.3,0.0192,,,,,
 2019/03/19,873.6,910.25,859.54,886.39,0.0146,,,,,
 2019/03/20,886.17,904.91,859.1,881.73,-0.005,,,,,
 2019/03/21,882.82,922.27,874,903.8,0.0238,,,,,
 2019/03/22,898.52,916.73,873.45,897.76,-0.0008,,,,,
 2019/03/25,884.02,914.5,870.32,889.13,0.0058,,,,,
 2019/03/26,890.75,903.82,849.99,857.5,-0.0373,,,,,
 2019/03/27,865.54,878.48,830.95,863.3,-0.0026,,,,,
 2019/03/28,858,877.2,835.92,844.73,-0.0155,,,,,
 2019/03/29,848.39,884.64,826.84,875.75,0.0322,,,,,
 2019/04/01,885.49,927.06,878.42,917.3,0.0359,,,,,
 2019/04/02,923.56,946.43,900.33,920.12,-0.0037,,,,,
 2019/04/03,918.43,939.62,904.48,924.31,0.0064,,,,,
 2019/04/04,926.67,941.99,906.49,922.77,-0.0042,,,,,
 2019/04/08,924.68,935.17,878.57,892.33,-0.035,,,,,
 2019/04/09,891.44,916.86,879.15,900.59,0.0103,,,,,
 2019/04/10,896.2,905.44,874.05,888.93,-0.0081,,,,,
 2019/04/11,890.22,902.36,868.08,874.27,-0.0179,,,,,
 2019/04/12,875.25,896.82,862.91,884.12,0.0101,,,,,
 2019/04/15,897.65,910.71,869.34,872.65,-0.0279,,,,,
 2019/04/16,866.7,895.74,847.54,892.6,0.0299,,,,,
 2019/04/17,892.79,912.05,881.75,897.96,0.0058,,,,,
 2019/04/18,895.55,905.76,876.41,884.55,-0.0123,,,,,
 2019/04/19,882.86,897.73,869.47,888,0.0058,,,,,
 2019/04/22,896.58,908.65,869.7,876.6,-0.0223,,,,,
 2019/04/23,875.65,886.79,851.88,861.79,-0.0158,,,,,
 2019/04/24,864.27,882.27,847.94,875.01,0.0124,,,,,
 2019/04/25,872.77,887.17,839.53,843.76,-0.0332,,,,,
 2019/04/26,841.04,862.21,823.3,834.83,-0.0074,,,,,
 2019/04/29,840.09,852.17,793.95,806.45,-0.04,,,,,
 2019/04/30,799.89,828.92,791.57,815.1,0.019,,,,,
 2019/05/06,787.3,805.59,746.76,758.82,-0.0362,,,,,
 2019/05/07,765.88,782.42,741.16,767.02,0.0015,,,,,
 2019/05/08,749.05,787.65,741.58,769.54,0.0274,,,,,
 2019/05/09,762.99,786.39,756.39,766.78,0.005,,,,,
 2019/05/10,772.5,801.49,752.82,796.38,0.0309,,,,,
 2019/05/13,785.01,800.4,773.41,784.76,-0.0003,,,,,
 2019/05/14,775.95,798.01,770.2,783.42,0.0096,,,,,
 2019/05/15,791.69,804.9,781.89,797.18,0.0069,,,,,
 2019/05/16,796.14,802.36,781.55,792.62,-0.0044,,,,,
 2019/05/17,792.95,800.99,753.17,759.24,-0.0425,,,,,
 2019/05/20,759.33,772.35,739.56,759.99,0.0009,,,,,
 2019/05/21,760.25,778.01,752.84,770.44,0.0134,,,,,
 2019/05/22,770.46,790.7,758.96,777.92,0.0097,,,,,
 2019/05/23,776.15,780.11,749.92,755.34,-0.0268,,,,,
 2019/05/24,750.61,768.07,741.55,749.33,-0.0017,,,,,
 2019/05/27,751.35,775.01,743.74,771.66,0.027,,,,,
 2019/05/28,772.24,781.94,760.38,771.33,-0.0012,,,,,
 2019/05/29,765.97,775.4,758.49,765.32,-0.0008,,,,,
 2019/05/30,762.02,766.65,744.45,756.44,-0.0073,,,,,
 2019/05/31,755.33,766.47,744.1,751.64,-0.0049,,,,,
 2019/06/03,750.74,755.76,726.13,735.14,-0.0208,,,,,
 2019/06/04,734.4,746.2,720.08,731.87,-0.0034,,,,,
 2019/06/05,738.07,745.65,726.91,732.33,-0.0078,,,,,
 2019/06/06,733.52,742.3,715.42,723.93,-0.0131,,,,,
 2019/06/10,727.95,741.52,719.74,734.59,0.0091,,,,,
 2019/06/11,736.8,762.08,729.55,759.24,0.0305,,,,,
 2019/06/12,758.58,765.49,747.2,750.6,-0.0105,,,,,
 2019/06/13,750.31,770.96,743.63,760.28,0.0133,,,,,
 2019/06/14,760.11,768.38,739.49,741.82,-0.0241,,,,,
 2019/06/17,740.05,752.84,730.05,741.71,0.0022,,,,,
 2019/06/18,742.17,753.32,732.79,743.46,0.0017,,,,,
 2019/06/19,762.39,774.25,750.9,757.18,-0.0068,,,,,
